Designator,Mid X,Mid Y,Rotation,Layer
C1,122.61,-105.664,0.0,top
C10,124.206,-107.8484,180.0,top
C11,140.068,-106.172,0.0,top
C12,137.287,-100.33,270.0,top
C2,144.597,-99.327,90.0,top
C3,122.669,-114.3,0.0,top
C5,137.752,-102.997,180.0,top
C7,150.172,-111.252,0.0,top
C8,123.599,-111.76,180.0,top
C9,138.684,-100.866,270.0,top
IC1,141.541,-101.661,180.0,top
J1,121.91,-100.193,0.0,bottom
J2,121.783,-119.644,0.0,bottom
J3,149.967,-99.17,180.0,bottom
J4,157.561,-111.262,0.0,bottom
R1,125.73,-107.3404,90.0,top
R2,125.095,-112.296,270.0,top
R3,137.795,-107.442,90.0,top
R4,137.795,-112.014,270.0,top
R5,142.692,-104.521,0.0,top
R6,140.66,-104.521,0.0,top
R7,144.78,-106.045,180.0,top
R8,142.621,-106.045,180.0,top
U1,132.269,-103.085,270.0,top
U2,132.269,-111.74,270.0,top
U3,143.525,-110.617,270.0,top
outline2,136.674076,-110.413484,0.0,top
